gene,meta_go_in_degree,meta_go_out_degree,meta_go_in_strength,meta_go_out_strength,meta_pathway_count,meta_is_perturbable
PTAFR,-1.7775066,-1.7775066,-1.764482,-1.764482,1.0422304,0.0
SESN2,-2.0362298,-2.0362298,-1.8232435,-1.8232435,0.7046697,0.0
RAB42,-0.37077162,-0.37077162,-0.3805429,-0.3805429,-0.44945776,0.0
GMEB1,1.3109865,1.3109865,1.6179261,1.6179261,-1.0265216,0.0
YTHDF2,-0.52594095,-0.52594095,-0.75059205,-0.75059205,-1.0265216,0.0
EPB41,-0.6783861,-0.6783861,-0.8930774,-0.8930774,0.12760599,0.0
SRSF4,0.83396304,0.83396304,0.88397914,0.88397914,1.0422304,0.0
LAPTM5,-2.449784,-2.449784,-2.0267434,-2.0267434,-1.0265216,0.0
SDC3,0.924433,0.924433,0.97957206,0.97957206,1.9334018,0.0
PUM1,0.37478948,0.37478948,0.24690507,0.24690507,0.31337905,0.0
FABP3,0.051683635,0.051683635,-0.14448108,-0.14448108,0.12760599,0.0
TINAGL1,0.57273716,0.57273716,0.6011295,0.6011295,-1.0265216,0.0
SPOCD1,-0.634398,-0.634398,-0.7583333,-0.7583333,0.12760599,0.0
KHDRBS1,0.82061213,0.82061213,0.73909545,0.73909545,-0.111897096,0.0
TXLNA,1.3015243,1.3015243,1.4133657,1.4133657,0.12760599,0.0
CCDC28B,1.087684,1.087684,1.2397109,1.2397109,-1.0265216,0.0
LCK,-1.2898228,-1.2898228,-1.3928761,-1.3928761,2.1239185,0.0
MARCKSL1,0.9856523,0.9856523,1.0116969,1.0116969,-1.0265216,0.0
TSSK3,0.031288706,0.031288706,0.16260608,0.16260608,-1.0265216,0.0
BSDC1,1.2359613,1.2359613,1.5556442,1.5556442,-1.0265216,0.0
SYNC,0.6575215,0.6575215,0.57638377,0.57638377,-1.0265216,0.0
KIAA1522,-1.4400889,-1.4400889,-1.2304323,-1.2304323,-1.0265216,0.0
TMEM54,1.0858375,1.0858375,1.5209424,1.5209424,-1.0265216,0.0
ZMYM1,0.18994147,0.18994147,0.17263691,0.17263691,-1.0265216,0.0
SFPQ,0.6368263,0.6368263,0.55704373,0.55704373,0.46516666,0.0
ZMYM4,0.42620406,0.42620406,0.37907124,0.37907124,-1.0265216,0.0
CLSPN,0.69877464,0.69877464,0.62011224,0.62011224,1.2817335,0.0
AGO4,0.38737616,0.38737616,0.24938907,0.24938907,2.4094293,0.0
AGO1,0.7239614,0.7239614,0.6437747,0.6437747,2.4094293,0.0
THRAP3,0.6592187,0.6592187,0.5891971,0.5891971,0.46516666,0.0
EVA1B,1.0858375,1.0858375,1.5209424,1.5209424,-1.0265216,0.0
OSCP1,-0.1205559,-0.1205559,-0.2650768,-0.2650768,-1.0265216,0.0
CSF3R,0.1595663,0.1595663,0.07020743,0.07020743,0.5935012,0.0
ZC3H12A,-2.3215065,-2.3215065,-2.0015607,-2.0015607,0.5935012,0.0
DNALI1,-0.05209864,-0.05209864,-0.23764855,-0.23764855,-1.0265216,0.0
CDCA8,-0.31445518,-0.31445518,-0.5036161,-0.5036161,1.5081258,0.0
FHL3,-0.54445714,-0.54445714,-0.79360086,-0.79360086,-1.0265216,0.0
POU3F1,0.5022196,0.5022196,0.7287141,0.7287141,0.12760599,0.0
RRAGC,0.5746518,0.5746518,0.4388097,0.4388097,1.170565,0.0
RHBDL2,0.512737,0.512737,0.6562707,0.6562707,-1.0265216,0.0
MACF1,-0.10030758,-0.10030758,-0.268809,-0.268809,-1.0265216,0.0
KIAA0754,-0.10030758,-0.10030758,-0.268809,-0.268809,-1.0265216,0.0
CAP1,-1.2898228,-1.2898228,-1.4302154,-1.4302154,0.80272734,0.0
RLF,0.38737616,0.38737616,0.34005544,0.34005544,-1.0265216,0.0
TMCO2,1.3533247,1.3533247,1.6975994,1.6975994,-1.0265216,0.0
COL9A2,0.13856246,0.13856246,0.1758915,0.1758915,1.2817335,0.0
SMAP2,-0.634398,-0.634398,-0.80513847,-0.80513847,-1.0265216,0.0
RIMS3,-1.6768237,-1.6768237,-1.5960257,-1.5960257,-1.0265216,0.0
SLFNL1,-1.1660699,-1.1660699,-1.0855131,-1.0855131,-1.0265216,0.0
FOXO6,1.1888585,1.1888585,1.4427656,1.4427656,0.7046697,0.0
HIVEP3,0.78890777,0.78890777,1.0838084,1.0838084,-0.111897096,0.0
PPCS,0.763059,0.763059,0.7280472,0.7280472,-0.111897096,0.0
LEPRE1,-0.55390126,-0.55390126,-0.7581393,-0.7581393,-1.0265216,0.0
CDC20,-0.81580114,-0.81580114,-0.9932045,-0.9932045,2.0018673,0.0
ATP6V0B,0.124203034,0.124203034,0.019653603,0.019653603,1.2280035,0.0
KIF2C,0.01876175,0.01876175,-0.07468939,-0.07468939,1.7476288,0.0
RPS8,1.3836374,1.3836374,1.5360358,1.5360358,2.142628,0.0
TCTEX1D4,0.8179114,0.8179114,0.7825553,0.7825553,-1.0265216,0.0
PTCH2,-0.70145625,-0.70145625,-0.920258,-0.920258,0.46516666,0.0
EIF2B3,0.2500587,0.2500587,0.111911245,0.111911245,0.31337905,1.0
ZSWIM5,-0.6898267,-0.6898267,-0.7233441,-0.7233441,-1.0265216,0.0
TESK2,1.0755932,1.0755932,1.141924,1.141924,-1.0265216,0.0
PRDX1,0.5473628,0.5473628,0.41597712,0.41597712,1.2280035,0.0
NASP,0.8738112,0.8738112,0.82830495,0.82830495,-1.0265216,0.0
CCDC17,0.9174205,0.9174205,1.3410503,1.3410503,-1.0265216,0.0
PIK3R3,-1.5887616,-1.5887616,-1.5618975,-1.5618975,2.142628,0.0
EFCAB14,-1.1220818,-1.1220818,-1.0401214,-1.0401214,-1.0265216,0.0
PDZK1IP1,1.148596,1.148596,1.4588553,1.4588553,-1.0265216,0.0
FOXE3,0.26208612,0.26208612,0.2576788,0.2576788,-1.0265216,0.0
CDKN2C,1.0708869,1.0708869,1.0722622,1.0722622,0.9697911,0.0
RNF11,0.73317873,0.73317873,0.71950704,0.71950704,-1.0265216,0.0
EPS15,0.48938805,0.48938805,0.3649123,0.3649123,1.5468549,0.0
NRD1,0.5393674,0.5393674,0.4515264,0.4515264,-1.0265216,0.0
TXNDC12,0.22536914,0.22536914,0.10420652,0.10420652,-1.0265216,0.0
ZFYVE9,0.48722678,0.48722678,0.39294168,0.39294168,0.46516666,0.0
ZCCHC11,0.3773248,0.3773248,0.24106397,0.24106397,-1.0265216,0.0
ECHDC2,-1.4400889,-1.4400889,-1.4252594,-1.4252594,-1.0265216,0.0
TMEM59,0.2190592,0.2190592,0.06436752,0.06436752,0.46516666,0.0
ACOT11,-1.8950422,-1.8950422,-1.767958,-1.767958,0.12760599,0.0
TMEM61,1.0858375,1.0858375,1.5209424,1.5209424,-1.0265216,0.0
MYSM1,0.9348222,0.9348222,0.9160301,0.9160301,-0.111897096,0.0
JUN,0.11691211,0.11691211,0.007787603,0.007787603,2.382131,0.0
USP1,0.9595909,0.9595909,0.96550155,0.96550155,0.31337905,0.0
JAK1,0.01876175,0.01876175,-0.18166839,-0.18166839,2.2135239,0.0
LEPROT,0.2378223,0.2378223,0.15980572,0.15980572,-1.0265216,0.0
WDR78,-1.9621004,-1.9621004,-1.7443511,-1.7443511,-1.0265216,0.0
MIER1,1.1227578,1.1227578,1.1707921,1.1707921,-1.0265216,0.0
GADD45A,0.27097332,0.27097332,0.07667105,0.07667105,0.46516666,0.0
DEPDC1,0.8983713,0.8983713,0.92132765,0.92132765,-1.0265216,0.0
CTH,-2.0362298,-2.0362298,-1.8922875,-1.8922875,0.12760599,0.0
PTGER3,-0.26862454,-0.26862454,-0.39317438,-0.39317438,0.5935012,0.0
SLC44A5,0.90914994,0.90914994,0.9977952,0.9977952,0.5935012,0.0
FUBP1,1.3670963,1.3670963,1.5577313,1.5577313,-1.0265216,0.0
DNAJB4,1.0310602,1.0310602,1.0614648,1.0614648,-1.0265216,0.0
TTLL7,-1.0806828,-1.0806828,-1.2230983,-1.2230983,-0.44945776,0.0
PRKACB,0.6743142,0.6743142,0.6107575,0.6107575,2.4739988,0.0
CTBS,-1.3174176,-1.3174176,-1.3440439,-1.3440439,-1.0265216,0.0
SSX2IP,0.48722678,0.48722678,0.34806183,0.34806183,-1.0265216,0.0
BCL10,-1.5887616,-1.5887616,-1.6171838,-1.6171838,1.108868,0.0
ZNHIT6,0.63857454,0.63857454,0.5650603,0.5650603,-1.0265216,0.0
ODF2L,-0.9358496,-0.9358496,-1.0267378,-1.0267378,-1.0265216,0.0
CLCA1,-0.634398,-0.634398,-0.81623626,-0.81623626,0.12760599,0.0
SH3GLB1,-0.24986145,-0.24986145,-0.5018218,-0.5018218,-1.0265216,0.0
LMO4,-2.6067832,-2.6067832,-2.0679061,-2.0679061,-1.0265216,0.0
PKN2,0.49154323,0.49154323,0.41743836,0.41743836,1.108868,0.0
GTF2B,-0.8439481,-0.8439481,-1.0267311,-1.0267311,1.108868,0.0
GBP1,-0.020215776,-0.020215776,-0.23667824,-0.23667824,1.108868,0.0
GBP2,1.1677818,1.1677818,1.1769882,1.1769882,1.0422304,0.0
LRRC8B,0.98351693,0.98351693,1.0028983,1.0028983,-0.111897096,0.0
ZNF326,1.0107827,1.0107827,1.0880381,1.0880381,-1.0265216,1.0
KIAA1107,-0.37077162,-0.37077162,-0.5953062,-0.5953062,-1.0265216,0.0
RPAP2,1.423651,1.423651,1.5762651,1.5762651,-0.44945776,0.0
EVI5,0.88496965,0.88496965,0.85980725,0.85980725,-1.0265216,0.0
FNBP1L,0.48938805,0.48938805,0.36585513,0.36585513,0.80272734,0.0
BCAR3,-0.1205559,-0.1205559,-0.3267223,-0.3267223,-1.0265216,0.0
DNTTIP2,0.97165555,0.97165555,1.0850801,1.0850801,-1.0265216,0.0
RWDD3,1.2616289,1.2616289,1.4109243,1.4109243,-0.44945776,0.0
FRRS1,0.20948659,0.20948659,0.21622008,0.21622008,-1.0265216,0.0
LRRC39,0.88003224,0.88003224,0.8911815,0.8911815,-1.0265216,0.0
DBT,-0.3077225,-0.3077225,-0.5326755,-0.5326755,0.7046697,0.0
S1PR1,-1.4400889,-1.4400889,-1.5247997,-1.5247997,0.80272734,0.0
SARS,-0.48167607,-0.48167607,-0.72344404,-0.72344404,-1.0265216,1.0
PSRC1,0.73622465,0.73622465,0.66706526,0.66706526,-1.0265216,0.0
MYBPHL,0.4828835,0.4828835,0.49761754,0.49761754,-1.0265216,0.0
SORT1,-1.18914,-1.18914,-1.3459907,-1.3459907,0.31337905,0.0
GSTM5,0.97922695,0.97922695,1.026965,1.026965,0.12760599,0.0
GSTM3,0.96947724,0.96947724,0.9327883,0.9327883,0.12760599,0.0
CSF1,-2.3215065,-2.3215065,-1.9458112,-1.9458112,0.8904428,0.0
CD53,0.7482776,0.7482776,0.7478143,0.7478143,-0.44945776,0.0
LRIF1,0.38737616,0.38737616,0.2733695,0.2733695,-1.0265216,0.0
DENND2D,1.2723489,1.2723489,1.4721222,1.4721222,0.31337905,0.0
CHI3L2,-0.39310938,-0.39310938,-0.5149963,-0.5149963,-1.0265216,0.0
OVGP1,-1.6768237,-1.6768237,-1.6350603,-1.6350603,-0.111897096,0.0
C1orf162,0.2190592,0.2190592,0.71323985,0.71323985,-1.0265216,0.0
FAM212B,0.4828835,0.4828835,0.44354087,0.44354087,-1.0265216,0.0
CTTNBP2NL,0.55723065,0.55723065,0.48680648,0.48680648,-1.0265216,0.0
ST7L,0.14563364,0.14563364,0.4001698,0.4001698,-1.0265216,0.0
RHOC,-0.23158549,-0.23158549,-0.40973482,-0.40973482,1.3797911,0.0
PHTF1,0.25609824,0.25609824,0.41383404,0.41383404,-1.0265216,0.0
SYT6,-1.1010779,-1.1010779,-1.2456174,-1.2456174,-1.0265216,0.0
TRIM33,0.97165555,0.97165555,1.011471,1.011471,0.46516666,0.0
SLC22A15,-0.0026252293,-0.0026252293,0.04342488,0.04342488,-0.111897096,0.0
CD58,0.6155044,0.6155044,0.56228334,0.56228334,0.12760599,0.0
MAN1A2,-0.038257223,-0.038257223,-0.13749667,-0.13749667,0.5935012,0.0
FAM46C,1.2536622,1.2536622,1.3733574,1.3733574,-1.0265216,0.0
WDR3,-0.2137725,-0.2137725,-0.30130577,-0.30130577,0.46516666,0.0
PHGDH,-2.3215065,-2.3215065,-1.9918016,-1.9918016,-0.111897096,0.0
PDE4DIP,1.0045838,1.0045838,1.0228175,1.0228175,-1.0265216,0.0
NBPF10,0.3436296,0.3436296,0.45836648,0.45836648,-1.0265216,0.0
HFE2,-1.1010779,-1.1010779,-1.2691244,-1.2691244,-1.0265216,0.0
TXNIP,0.0715042,0.0715042,-0.14851393,-0.14851393,1.0422304,0.0
POLR3GL,1.4679856,1.4679856,1.7111248,1.7111248,0.46516666,0.0
CD160,-1.4073584,-1.4073584,-1.5037291,-1.5037291,-0.111897096,0.0
PDZK1,-0.8883994,-0.8883994,-1.083092,-1.083092,-1.0265216,0.0
NBPF15,0.17996123,0.17996123,0.3344842,0.3344842,-1.0265216,0.0
NBPF16,0.17996123,0.17996123,0.3344842,0.3344842,-1.0265216,0.0
FCGR1A,0.031288706,0.031288706,-0.121270865,-0.121270865,1.3797911,0.0
HIST2H2BE,1.184854,1.184854,1.274911,1.274911,-1.0265216,0.0
HIST2H2AC,0.14914255,0.14914255,0.23064823,0.23064823,-1.0265216,0.0
SV2A,-1.0415851,-1.0415851,-1.2099043,-1.2099043,-0.111897096,0.0
MTMR11,0.24701948,0.24701948,0.1975515,0.1975515,-1.0265216,0.0
PLEKHO1,0.8825051,0.8825051,0.8687291,0.8687291,-1.0265216,0.0
ANP32E,0.5085487,0.5085487,0.42204052,0.42204052,-1.0265216,0.0
PRPF3,1.0399978,1.0399978,1.0923443,1.0923443,0.31337905,0.0
RPRD2,-0.7626756,-0.7626756,-0.91531456,-0.91531456,-0.44945776,0.0
ECM1,-0.58301896,-0.58301896,-0.7547638,-0.7547638,0.31337905,0.0
MCL1,0.6541142,0.6541142,0.5176011,0.5176011,0.5935012,0.0
CTSS,-1.18914,-1.18914,-1.1484234,-1.1484234,1.5468549,0.0
CTSK,-0.70145625,-0.70145625,-0.7303197,-0.7303197,0.9697911,0.0
FAM63A,0.4285612,0.4285612,0.34415624,0.34415624,-1.0265216,0.0
C1orf56,0.84576637,0.84576637,1.002848,1.002848,-1.0265216,0.0
CDC42SE1,-0.2196604,-0.2196604,-0.37237805,-0.37237805,-1.0265216,0.0
MLLT11,0.8179114,0.8179114,0.8023413,0.8023413,-1.0265216,0.0
TNFAIP8L2,0.84185386,0.84185386,0.8606866,0.8606866,0.12760599,0.0
LYSMD1,1.1718843,1.1718843,1.4587849,1.4587849,-1.0265216,0.0
PSMD4,1.3109865,1.3109865,1.4494287,1.4494287,-0.44945776,1.0
SELENBP1,0.99201965,0.99201965,1.0200728,1.0200728,-1.0265216,0.0
TUFT1,0.69877464,0.69877464,0.65335876,0.65335876,-1.0265216,0.0
S100A10,-0.15206468,-0.15206468,-0.35707697,-0.35707697,-0.111897096,0.0
S100A11,0.71774876,0.71774876,0.65429395,0.65429395,-0.44945776,0.0
FLG2,-0.22559762,-0.22559762,-0.4175558,-0.4175558,-0.44945776,0.0
PGLYRP4,-1.3461391,-1.3461391,-1.4254158,-1.4254158,-0.44945776,0.0
S100A9,-0.35626426,-0.35626426,-0.6033295,-0.6033295,1.6192942,0.0
S100A5,0.7973172,0.7973172,0.7942473,0.7942473,-1.0265216,0.0
S100A4,0.68583506,0.68583506,0.6299481,0.6299481,-1.0265216,0.0
S100A3,1.2162689,1.2162689,1.3231963,1.3231963,-1.0265216,0.0
S100A2,0.44022933,0.44022933,0.41985384,0.41985384,-1.0265216,0.0
S100A16,0.67265284,0.67265284,0.6017775,0.6017775,-1.0265216,0.0
S100A14,-0.13090283,-0.13090283,-0.2866716,-0.2866716,-1.0265216,0.0
S100A13,1.1121508,1.1121508,1.094808,1.094808,-1.0265216,0.0
S100A1,1.1460544,1.1460544,1.1471438,1.1471438,1.2817335,0.0
GATAD2B,0.3329284,0.3329284,0.22501902,0.22501902,1.6192942,0.0
RAB13,-0.82973385,-0.82973385,-1.0106294,-1.0106294,0.5935012,0.0
RPS27,1.0689954,1.0689954,1.1539747,1.1539747,2.4094293,0.0
TPM3,0.55526835,0.55526835,0.49503317,0.49503317,0.9697911,0.0
HAX1,-2.3215065,-2.3215065,-1.9187789,-1.9187789,-1.0265216,0.0
AQP10,-0.16288936,-0.16288936,-0.36380237,-0.36380237,0.12760599,0.0
IL6R,-1.7775066,-1.7775066,-1.6699321,-1.6699321,1.108868,0.0
ADAR,0.2500587,0.2500587,0.07439227,0.07439227,0.5935012,0.0
PBXIP1,0.18994147,0.18994147,-0.0006030797,-0.0006030797,-1.0265216,0.0
CKS1B,-0.047454417,-0.047454417,-0.19196925,-0.19196925,0.9697911,0.0
EFNA1,-2.3215065,-2.3215065,-1.9799752,-1.9799752,0.46516666,0.0
ASH1L,-0.7253088,-0.7253088,-0.92870504,-0.92870504,0.12760599,0.0
SYT11,-2.6067832,-2.6067832,-2.0074298,-2.0074298,0.31337905,0.0
RIT1,0.06364294,0.06364294,-0.064428195,-0.064428195,0.31337905,0.0
KIAA0907,1.5030801,1.5030801,1.7971388,1.7971388,-1.0265216,0.0
ARHGEF2,-0.85845536,-0.85845536,-1.0999991,-1.0999991,1.108868,0.0
SSR2,0.94393015,0.94393015,1.1765677,1.1765677,-0.111897096,0.0
RAB25,-0.6560483,-0.6560483,-0.84618974,-0.84618974,-0.44945776,0.0
LMNA,-0.0903978,-0.0903978,-0.32826743,-0.32826743,1.7768432,0.0
PAQR6,1.0830582,1.0830582,1.3197503,1.3197503,-1.0265216,0.0
MEF2D,0.7377424,0.7377424,0.8697381,0.8697381,1.170565,0.0
GPATCH4,0.8286532,0.8286532,0.9264963,0.9264963,-1.0265216,0.0
BCAN,-0.52594095,-0.52594095,-0.7011859,-0.7011859,1.2817335,0.0
NES,-1.3461391,-1.3461391,-1.4836569,-1.4836569,-1.0265216,0.0
CRABP2,1.0784019,1.0784019,1.0683765,1.0683765,-0.111897096,0.0
SH2D2A,1.2100972,1.2100972,1.294529,1.294529,0.12760599,0.0
NTRK1,-1.6768237,-1.6768237,-1.6726941,-1.6726941,0.5935012,0.0
ARHGEF11,0.99096215,0.99096215,0.9901899,0.9901899,1.5081258,0.0
ETV3,0.523099,0.523099,0.6787773,0.6787773,-1.0265216,0.0
IFI16,0.38236827,0.38236827,0.2149061,0.2149061,-0.44945776,0.0
DUSP23,-0.07579012,-0.07579012,-0.23245472,-0.23245472,-1.0265216,0.0
CCDC19,0.6809204,0.6809204,0.5883503,0.5883503,-1.0265216,0.0
ATP1A2,-2.6067832,-2.6067832,-1.9935362,-1.9935362,0.80272734,0.0
ATP1A4,-1.3174176,-1.3174176,-1.4336634,-1.4336634,0.80272734,0.0
PEA15,0.67265284,0.67265284,0.6164038,0.6164038,0.31337905,0.0
COPA,0.7860822,0.7860822,0.7403448,0.7403448,0.8904428,0.0
NHLH1,0.73317873,0.73317873,1.0703298,1.0703298,-1.0265216,0.0
SLAMF6,0.7512588,0.7512588,0.7678846,0.7678846,-0.111897096,0.0
CD84,-0.3350494,-0.3350494,-0.5192377,-0.5192377,-0.111897096,0.0
SLAMF1,-1.2129924,-1.2129924,-1.3389593,-1.3389593,-1.0265216,0.0
CD244,0.5043359,0.5043359,0.43998423,0.43998423,-0.111897096,0.0
ITLN1,0.30263275,0.30263275,0.16901627,0.16901627,-0.44945776,0.0
ITLN2,-0.1683646,-0.1683646,-0.25166765,-0.25166765,-1.0265216,0.0
TSTD1,0.5972284,0.5972284,0.49347982,0.49347982,-0.111897096,0.0
ARHGAP30,0.7674339,0.7674339,0.7755921,0.7755921,0.7046697,0.0
PVRL4,0.88865,0.88865,0.9601887,0.9601887,-1.0265216,0.0
ADAMTS4,0.12056697,0.12056697,0.07107091,0.07107091,0.80272734,0.0
FCER1G,-0.9358496,-0.9358496,-1.147156,-1.147156,1.170565,0.0
MPZ,-0.81580114,-0.81580114,-0.9654685,-0.9654685,-0.111897096,0.0
FCGR2A,0.5022196,0.5022196,0.4753362,0.4753362,0.9697911,0.0
HSPA6,0.7467823,0.7467823,0.67042255,0.67042255,0.7046697,0.0
ATF6,0.6226836,0.6226836,0.66428214,0.66428214,0.8904428,0.0
NOS1AP,-1.5887616,-1.5887616,-1.6572386,-1.6572386,-1.0265216,0.0
UHMK1,0.4021888,0.4021888,0.31688508,0.31688508,0.31337905,0.0
NUF2,0.42383915,0.42383915,0.34764412,0.34764412,1.3797911,0.0
PBX1,0.44253984,0.44253984,0.481896,0.481896,0.5935012,0.0
TMCO1,0.32479438,0.32479438,0.17769171,0.17769171,-1.0265216,0.0
POU2F1,1.0858375,1.0858375,1.3212416,1.3212416,1.0422304,0.0
CREG1,-0.23762502,-0.23762502,-0.3483774,-0.3483774,-0.44945776,0.0
RCSD1,-1.9621004,-1.9621004,-1.781349,-1.781349,-1.0265216,0.0
MPC2,0.49154323,0.49154323,0.3824898,0.3824898,-0.111897096,0.0
ATP1B1,-2.6067832,-2.6067832,-2.0111835,-2.0111835,1.0422304,0.0
KIFAP3,-1.1660699,-1.1660699,-1.3425386,-1.3425386,1.2280035,0.0
FMO4,0.5353354,0.5353354,0.555413,0.555413,-1.0265216,0.0
PRRC2C,-0.038257223,-0.038257223,-0.18571006,-0.18571006,-1.0265216,0.0
SUCO,-0.15745606,-0.15745606,-0.31546882,-0.31546882,-1.0265216,0.0
RABGAP1L,-0.9693598,-0.9693598,-1.088404,-1.088404,-1.0265216,0.0
GPR52,-0.5078995,-0.5078995,-0.6144347,-0.6144347,-1.0265216,0.0
CACYBP,1.0623355,1.0623355,1.0660369,1.0660369,-1.0265216,0.0
RALGPS2,1.0594617,1.0594617,1.1289175,1.1289175,-1.0265216,0.0
ABL2,-0.77558565,-0.77558565,-0.97370994,-0.97370994,1.0422304,0.0
TOR1AIP2,0.5353354,0.5353354,0.5688911,0.5688911,-1.0265216,0.0
TOR1AIP1,0.30823883,0.30823883,0.15751573,0.15751573,0.46516666,0.0
CEP350,0.97165555,0.97165555,0.9624616,0.9624616,-1.0265216,0.0
QSOX1,-0.53513813,-0.53513813,-0.71951294,-0.71951294,0.7046697,0.0
KIAA1614,-1.18914,-1.18914,-1.3580723,-1.3580723,-1.0265216,0.0
