src,dst,importance
ASAP2,ACAP2,0.1538461538461538
PRAF2,ACAP2,0.1538461538461538
NCF4,ACAP2,0.15
DEPDC1,ACAP2,0.1428571428571428
SMIM14,ACAT2,0.1739130434782608
SSR2,ACAT2,0.1739130434782608
SSR3,ACAT2,0.1739130434782608
SSR1,ACAT2,0.1666666666666666
TMCC2,ACAT2,0.1666666666666666
TMEM50B,ACAT2,0.16
C14orf1,ACAT2,0.1538461538461538
SPCS3,ACAT2,0.1481481481481481
GOLGA3,ACBD3,0.2666666666666666
ARFGAP3,ACBD3,0.25
TMEM167A,ACBD3,0.25
BROX,ACBD3,0.2222222222222222
C14orf119,ACBD3,0.2222222222222222
C2orf88,ACBD3,0.2222222222222222
CCDC70,ACBD3,0.2222222222222222
HPCAL1,ACBD3,0.2222222222222222
ANKRD40,ACBD7,0.25
ANKRD55,ACBD7,0.25
APOL6,ACBD7,0.25
C15orf65,ACBD7,0.25
C16orf87,ACBD7,0.25
C1orf63,ACBD7,0.25
C20orf195,ACBD7,0.25
CCDC17,ACBD7,0.25
ZC3H13,ACIN1,0.35
PRPF3,ACIN1,0.3333333333333333
AKAP17A,ACIN1,0.3181818181818182
SRSF4,ACIN1,0.3181818181818182
CDCA4,ACIN1,0.2941176470588235
SRSF7,ACIN1,0.2916666666666667
ASCC3,ACIN1,0.28
SNRNP48,ACIN1,0.2777777777777778
CLINT1,ACKR2,0.1875
GMIP,ACKR2,0.1724137931034483
BLVRB,ACKR2,0.1666666666666666
DENND1C,ACKR2,0.1666666666666666
KISS1R,ACKR2,0.1666666666666666
FNBP1,ACKR2,0.15625
CDCA4,ACKR2,0.1538461538461538
HSPB9,ACKR2,0.1538461538461538
IDI2,ACOX2,0.16
SAMD9,ACOX2,0.1578947368421052
UHRF1BP1L,ACOX2,0.1578947368421052
HSPB9,ACOX2,0.15
CA13,ACOX2,0.1304347826086956
CALCOCO2,ACOX2,0.1290322580645161
CRYM,ACOX2,0.1290322580645161
BLVRB,ACOX2,0.12
CASC5,ACRBP,0.1875
FGF11,ACRBP,0.1333333333333333
MFAP1,ACRBP,0.1333333333333333
RSPH1,ACRBP,0.1333333333333333
CCDC108,ACRBP,0.125
FAM180B,ACRBP,0.125
FAM214B,ACRBP,0.125
LENG8,ACRBP,0.125
CYHR1,ACRC,0.3333333333333333
CDCA4,ACRC,0.3
DNTTIP2,ACRC,0.3
GTF2IRD2,ACRC,0.3
GTF2IRD2B,ACRC,0.3
HN1,ACRC,0.3
HSPB9,ACRC,0.3
KIAA0907,ACRC,0.3
ANKRD40,ACRV1,0.3333333333333333
ANKRD55,ACRV1,0.3333333333333333
C15orf65,ACRV1,0.3333333333333333
C16orf87,ACRV1,0.3333333333333333
C1orf63,ACRV1,0.3333333333333333
C20orf195,ACRV1,0.3333333333333333
CCDC17,ACRV1,0.3333333333333333
CCDC74A,ACRV1,0.3333333333333333
ACSL5,ACSL1,0.4375
MLEC,ACSL1,0.1388888888888889
PLP2,ACSL1,0.1388888888888889
MSMO1,ACSL1,0.1351351351351351
CKAP4,ACSL1,0.125
TMEM50B,ACSL1,0.125
DDOST,ACSL1,0.1219512195121951
ACSL5,ACSL3,0.3636363636363636
CKAP4,ACSL3,0.2222222222222222
MSMO1,ACSL3,0.2058823529411764
SLC39A7,ACSL3,0.1875
MLEC,ACSL3,0.1764705882352941
PLP2,ACSL3,0.1764705882352941
MS4A4A,ACSL3,0.1724137931034483
RTN3,ACSL3,0.1666666666666666
ACSL5,ACSL4,0.3666666666666666
CKAP4,ACSL4,0.2121212121212121
MSMO1,ACSL4,0.1935483870967742
MLEC,ACSL4,0.1612903225806451
PLP2,ACSL4,0.1612903225806451
REEP1,ACSL4,0.15625
TMC6,ACSL4,0.15625
TMEM50B,ACSL4,0.1481481481481481
SLC39A7,ACSL5,0.2857142857142857
TMEM50B,ACSL5,0.2631578947368421
MLEC,ACSL5,0.2608695652173913
PLP2,ACSL5,0.2608695652173913
MSMO1,ACSL5,0.25
TMEM8B,ACSL5,0.2272727272727272
CKAP4,ACSL5,0.2222222222222222
MFSD6,ACSL5,0.2222222222222222
ACSL5,ACSL6,0.5714285714285714
MLEC,ACSL6,0.217391304347826
PLP2,ACSL6,0.217391304347826
TMEM50B,ACSL6,0.2105263157894736
MSMO1,ACSL6,0.2083333333333333
CKAP4,ACSL6,0.1851851851851851
SLC39A7,ACSL6,0.1818181818181818
DDOST,ACSL6,0.1785714285714285
IARS2,ACSM3,0.1428571428571428
TIMM44,ACSM3,0.1363636363636363
MRGBP,ACTB,0.1612903225806451
PPL,ACTG1,0.1428571428571428
FLNB,ACTG1,0.1269841269841269
RPS27A,ACTG1,0.1212121212121212
SERPINB8,ACTG2,0.2105263157894736
CFHR3,ACTG2,0.2
HSPA12A,ACTG2,0.1875
DARS,ACTG2,0.1666666666666666
HSPA4L,ACTG2,0.1666666666666666
RPL28,ACTG2,0.1666666666666666
WARS,ACTG2,0.1612903225806451
CKM,ACTG2,0.1578947368421052
BSDC1,ACTL8,0.5
DNAJC12,ACTL8,0.5
NBPF1,ACTL8,0.5
TAGLN,ACTL8,0.4285714285714285
ATXN7L3B,ACTL8,0.4
CBWD3,ACTL8,0.4
GSTCD,ACTL8,0.4
KIAA1191,ACTL8,0.4
COTL1,ACTN2,0.1379310344827586
FLNB,ACTN2,0.1363636363636363
RPS18,ACTR2,0.1702127659574468
CAND1,ACTR2,0.1666666666666666
MVP,ACTR2,0.16
PSMC2,ACTR2,0.16
COTL1,ACTR2,0.1555555555555555
PSMD12,ACTR2,0.1555555555555555
RPL12,ACTR2,0.1521739130434782
AHNAK,ACTR2,0.1509433962264151
FLNB,ACTR3,0.2142857142857142
ABHD14B,ACTR3,0.1935483870967742
RPS8,ACTR3,0.1891891891891892
AHNAK,ACTR3,0.1860465116279069
HSPA12A,ACTR3,0.1851851851851851
RPS18,ACTR3,0.1842105263157894
RPL37A,ACTR3,0.1764705882352941
ZYX,ACTR3,0.175
CDK15,ACVR1B,0.1304347826086956
PIM3,ACVR1B,0.1304347826086956
TESK2,ACVR2A,0.1296296296296296
MIPOL1,ACYP2,0.4
UHRF1BP1,ACYP2,0.4
C1QTNF6,ACYP2,0.3333333333333333
TNFAIP8L1,ACYP2,0.2857142857142857
ANKRD40,ACYP2,0.25
ANKRD55,ACYP2,0.25
C15orf65,ACYP2,0.25
C16orf87,ACYP2,0.25
ZYX,ADAM10,0.1232876712328767
NPDC1,ADAM20,0.1818181818181818
SUSD3,ADAM20,0.1818181818181818
ANTXR2,ADAM20,0.1764705882352941
CDCP1,ADAM20,0.1666666666666666
PRSS8,ADAM20,0.1666666666666666
PTPRCAP,ADAM20,0.1666666666666666
EMP3,ADAM20,0.1538461538461538
MFSD6,ADAM20,0.1538461538461538
C2orf82,ADAMTS10,0.2307692307692307
FAM180B,ADAMTS10,0.2222222222222222
ZNF843,ADAMTS10,0.2222222222222222
C1orf56,ADAMTS10,0.2
HDDC3,ADAMTS10,0.2
YPEL2,ADAMTS10,0.2
ANTXR2,ADAMTS10,0.1875
ENDOD1,ADAMTS10,0.1875
ANTXR2,ADAMTS14,0.125
ENDOD1,ADAMTS14,0.125
MASP1,ADAMTS4,0.2272727272727272
FCGBP,ADAMTS4,0.1875
PRSS8,ADAMTS4,0.1818181818181818
ZFC3H1,ADAMTS4,0.1666666666666666
C2orf82,ADAMTS4,0.1578947368421052
CLEC11A,ADAMTS4,0.1428571428571428
SERPINB8,ADAMTS4,0.1428571428571428
ANTXR2,ADAMTS4,0.1363636363636363
ASAP2,ADAP1,0.3571428571428571
HSPB9,ADAP1,0.3571428571428571
RANBP10,ADAP1,0.3333333333333333
RGS10,ADAP1,0.3
GRAP2,ADAP1,0.2941176470588235
NMRK2,ADAP1,0.2857142857142857
SAMD9,ADAP1,0.2857142857142857
ARHGAP9,ADAP1,0.2777777777777778
ADAP1,ADAP2,0.4
ASAP2,ADAP2,0.3125
RALGPS2,ADAP2,0.2222222222222222
NMRK2,ADAP2,0.2083333333333333
ARHGAP9,ADAP2,0.1904761904761904
GMIP,ADAP2,0.1904761904761904
RGS20,ADAP2,0.1818181818181818
CHIC2,ADAP2,0.1764705882352941
LYAR,ADAR,0.2
ZC3HAV1,ADAR,0.1794871794871795
MBNL1,ADAR,0.1777777777777777
IFIT3,ADAR,0.175
TAF15,ADAR,0.175
HELZ2,ADAR,0.1666666666666666
ZNF326,ADAR,0.1666666666666666
HLTF,ADAR,0.1632653061224489
LIMD2,ADAT3,0.5
ANKRD10,ADAT3,0.4
LYSMD1,ADAT3,0.4
VWA5A,ADAT3,0.4
ZNF843,ADAT3,0.4
TATDN1,ADAT3,0.375
ZC3H11A,ADAT3,0.375
ANKRD28,ADAT3,0.3333333333333333
ADCY4,ADCY1,0.2162162162162162
HSPA12A,ADCY1,0.125
ADCY4,ADCY3,0.144927536231884
GYPC,ADCY4,0.2666666666666666
NRBP1,ADCY4,0.25
CD99,ADCY4,0.2222222222222222
HELZ2,ADCY4,0.217391304347826
NMRK2,ADCY4,0.217391304347826
CBWD3,ADCY4,0.2142857142857142
GYPB,ADCY4,0.2142857142857142
CARS,ADCY4,0.2105263157894736
ADCY4,ADCY6,0.3928571428571428
GYPC,ADCY6,0.1538461538461538
SHC2,ADCY6,0.1379310344827586
GMIP,ADCY6,0.1290322580645161
NBEAL2,ADCY6,0.1290322580645161
SIGLEC6,ADCY6,0.1290322580645161
HELZ,ADCY6,0.125
KISS1R,ADCY6,0.125
FLNB,ADD1,0.238095238095238
NUFIP2,ADD1,0.2258064516129032
PLEKHH2,ADD1,0.2258064516129032
TES,ADD1,0.21875
RPS18,ADD1,0.2105263157894736
HDLBP,ADD1,0.2058823529411764
CDC42EP1,ADD1,0.2
ZYX,ADD1,0.2
PSMD11,ADRM1,0.3478260869565217
PSME1,ADRM1,0.2857142857142857
PSMD12,ADRM1,0.25
UBXN7,ADRM1,0.25
PSMD4,ADRM1,0.238095238095238
CDCA4,ADRM1,0.2352941176470588
KCTD10,ADRM1,0.2272727272727272
RAD23A,ADRM1,0.2258064516129032
ARL4A,ADSSL1,0.1578947368421052
FARSB,ADSSL1,0.1578947368421052
SAMD9,ADSSL1,0.1538461538461538
ARHGAP5,ADSSL1,0.1428571428571428
EIF2S3,ADSSL1,0.1428571428571428
HSPB9,ADSSL1,0.1428571428571428
NFKBIE,ADSSL1,0.1428571428571428
SPATS2L,ADSSL1,0.1428571428571428
FAXDC2,ADTRP,0.1481481481481481
SDC3,ADTRP,0.1481481481481481
CEACAM19,ADTRP,0.1428571428571428
CLDND1,ADTRP,0.1428571428571428
MFSD6,ADTRP,0.1363636363636363
SMIM1,ADTRP,0.1363636363636363
DNAJC4,ADTRP,0.1304347826086956
GLIPR1,ADTRP,0.1304347826086956
ATXN7L3B,AFF1,0.4
ANKRD40,AFF1,0.25
ANKRD55,AFF1,0.25
C15orf65,AFF1,0.25
C16orf87,AFF1,0.25
C1orf63,AFF1,0.25
C20orf195,AFF1,0.25
CCDC17,AFF1,0.25
FAM9B,AFF4,0.3
NFKBIE,AFF4,0.2727272727272727
ANKRD10,AFF4,0.25
LYSMD1,AFF4,0.25
VWA5A,AFF4,0.25
HNRNPDL,AFF4,0.2307692307692307
ANKRD28,AFF4,0.2222222222222222
ATXN7L3B,AFF4,0.2222222222222222
CLINT1,AFTPH,0.3333333333333333
FAM114A1,AFTPH,0.2727272727272727
HSPB9,AFTPH,0.2307692307692307
TNRC6A,AFTPH,0.2222222222222222
RPS12,AFTPH,0.1904761904761904
YIPF5,AFTPH,0.1904761904761904
SEC14L1,AFTPH,0.1875
ANKRD28,AFTPH,0.1818181818181818
MASP1,AGA,0.2777777777777778
CLEC11A,AGA,0.25
GCA,AGA,0.2222222222222222
PRSS8,AGA,0.2222222222222222
APOL6,AGA,0.2142857142857142
OLFM2,AGA,0.2105263157894736
C2orf82,AGA,0.2
CR1L,AGA,0.1875
CAPNS2,AGBL2,0.2727272727272727
CEP170,AGBL2,0.25
S100A3,AGBL2,0.25
ANKRD28,AGBL2,0.2222222222222222
C14orf119,AGBL2,0.2222222222222222
FAM208B,AGBL2,0.2222222222222222
MAP3K7CL,AGBL2,0.2222222222222222
SELV,AGBL2,0.2222222222222222
TROAP,AGGF1,0.3
STH,AGGF1,0.25
TSNAXIP1,AGGF1,0.25
PLXDC1,AGGF1,0.2352941176470588
APOL6,AGGF1,0.2307692307692307
C2orf82,AGGF1,0.2142857142857142
BSDC1,AGGF1,0.2
DNAJC12,AGGF1,0.2
TNRC6A,AGO1,0.2258064516129032
TNRC6C,AGO1,0.2068965517241379
ZFR,AGO1,0.2068965517241379
ABHD14B,AGO1,0.2
NUFIP2,AGO1,0.2
TNRC6B,AGO1,0.2
DDX6,AGO1,0.1951219512195122
RPS8,AGO1,0.1944444444444444
DDX6,AGO4,0.225
ZFR,AGO4,0.2068965517241379
NUFIP2,AGO4,0.2
HELZ,AGO4,0.1935483870967742
STRBP,AGO4,0.1935483870967742
DCP1A,AGO4,0.1891891891891892
TNRC6A,AGO4,0.1875
RPL10,AGO4,0.1842105263157894
TMCC2,AGPAT5,0.2352941176470588
ACSL5,AGPAT5,0.2307692307692307
TMEM106C,AGPAT5,0.2
SMIM14,AGPAT5,0.1764705882352941
SSR2,AGPAT5,0.1764705882352941
SSR3,AGPAT5,0.1764705882352941
SAMM50,AGPAT5,0.1739130434782608
NOMO2,AGPAT5,0.1666666666666666
HIST1H2BD,AHCTF1,0.2272727272727272
ANAPC16,AHCTF1,0.2083333333333333
XPO1,AHCTF1,0.2051282051282051
CASC5,AHCTF1,0.2
MIS18BP1,AHCTF1,0.2
STAG2,AHCTF1,0.1935483870967742
CENPU,AHCTF1,0.1904761904761904
TMPO,AHCTF1,0.1904761904761904
TES,AHNAK,0.25
RPS8,AHNAK,0.2424242424242424
RPS18,AHNAK,0.2352941176470588
HDLBP,AHNAK,0.2333333333333333
RPL37A,AHNAK,0.2333333333333333
EEF2,AHNAK,0.2307692307692307
FLNB,AHNAK,0.2307692307692307
ZYX,AHNAK,0.2222222222222222
BHLHE40,AHR,0.2542372881355932
IRF1,AHR,0.234375
IRF2,AHR,0.2222222222222222
ZFHX3,AHR,0.2203389830508474
RHOXF1,AHR,0.22
NFKB2,AHR,0.2181818181818181
KLF1,AHR,0.2156862745098039
ETS2,AHR,0.2142857142857142
PPIL6,AHSP,0.2727272727272727
DNAJC4,AHSP,0.2307692307692307
BSDC1,AHSP,0.2
DNAJC12,AHSP,0.2
NBPF1,AHSP,0.2
PPIC,AHSP,0.2
ATXN7L3B,AHSP,0.1818181818181818
CBWD3,AHSP,0.1818181818181818
UBAP2,AICDA,0.1724137931034483
SRSF7,AICDA,0.1666666666666666
ZFR,AICDA,0.1612903225806451
DAZL,AICDA,0.1515151515151515
TES,AICDA,0.1515151515151515
C19orf66,AICDA,0.15
IFIT3,AICDA,0.1470588235294117
PTRF,AICDA,0.1463414634146341
CCND2,AIF1,0.1212121212121212
CLK3,AIM1,0.125
ZG16B,AIM1L,0.2
NOMO2,AIM1L,0.1666666666666666
NOMO3,AIM1L,0.1666666666666666
SIGLEC7,AIM1L,0.1428571428571428
ATF7IP,AJUBA,0.16
TLE4,AJUBA,0.1555555555555555
YAF2,AJUBA,0.1555555555555555
PHF19,AJUBA,0.1521739130434782
MIER1,AJUBA,0.1489361702127659
RYBP,AJUBA,0.1428571428571428
GFI1B,AJUBA,0.1372549019607843
TTC3,AJUBA,0.1363636363636363
HSPA12A,AK1,0.1875
DARS,AK1,0.1666666666666666
HSPA4L,AK1,0.1666666666666666
IARS,AK1,0.1538461538461538
CA1,AK1,0.15
CARS,AK1,0.15
PSAT1,AK1,0.15
SEC14L2,AK1,0.15
HSPA4L,AK7,0.2
CARS,AK7,0.1764705882352941
CBWD3,AK7,0.1666666666666666
HARS,AK7,0.1578947368421052
FARSB,AK7,0.15
HSPA12A,AK7,0.1428571428571428
SAMD9,AK7,0.1428571428571428
TTLL10,AK7,0.1428571428571428
CARS,AK8,0.2
CBWD3,AK8,0.2
TCTEX1D4,AK8,0.1818181818181818
HSPA12A,AK8,0.1764705882352941
SAMD9,AK8,0.1764705882352941
TTLL10,AK8,0.1764705882352941
FARSB,AK8,0.1739130434782608
HSPB9,AK8,0.1666666666666666
WDR26,AK9,0.1923076923076923
HN1,AK9,0.1666666666666666
HSPB9,AK9,0.1666666666666666
UBA7,AK9,0.1612903225806451
HSPA4L,AK9,0.16
GRAP2,AK9,0.1481481481481481
MAD2L1BP,AK9,0.1481481481481481
SEC14L2,AK9,0.1481481481481481
C14orf119,AKAP10,0.375
CCDC70,AKAP10,0.375
GIGYF1,AKAP10,0.3333333333333333
NIPSNAP3A,AKAP10,0.3333333333333333
ARGLU1,AKAP10,0.3
AKAP11,AKAP10,0.2941176470588235
NBEAL2,AKAP10,0.2857142857142857
CAPNS2,AKAP10,0.2727272727272727
ABTB1,AKAP11,0.2941176470588235
AKAP10,AKAP11,0.2941176470588235
ARL4A,AKAP11,0.238095238095238
TTC17,AKAP11,0.2352941176470588
EPB41L1,AKAP11,0.2222222222222222
MIDN,AKAP11,0.2222222222222222
SHC2,AKAP11,0.2222222222222222
C2orf88,AKAP11,0.2142857142857142
CDC42EP3,AKAP12,0.1621621621621621
FNBP1,AKAP12,0.1621621621621621
CDC42EP1,AKAP12,0.1578947368421052
AKAP10,AKAP12,0.1515151515151515
FLNB,AKAP12,0.1489361702127659
MARCKSL1,AKAP12,0.1428571428571428
PDE4A,AKAP12,0.1395348837209302
RGS3,AKAP12,0.1388888888888889
ARHGEF12,AKAP13,0.1666666666666666
PDE4A,AKAP13,0.1666666666666666
DEF6,AKAP13,0.1521739130434782
CALCOCO2,AKAP13,0.1428571428571428
HELZ,AKAP13,0.1388888888888889
CDK15,AKAP13,0.1282051282051282
LPXN,AKAP13,0.1276595744680851
DOCK6,AKAP13,0.125
PRPF3,AKAP17A,0.3809523809523809
HNRNPH3,AKAP17A,0.3333333333333333
ZC3H13,AKAP17A,0.3333333333333333
ACIN1,AKAP17A,0.3181818181818182
SRSF4,AKAP17A,0.3
MBNL1,AKAP17A,0.2916666666666667
ZNF326,AKAP17A,0.2857142857142857
MBNL3,AKAP17A,0.2777777777777778
CCDC62,AKAP3,0.2105263157894736
CCDC108,AKAP3,0.2
HSPA12A,AKAP3,0.2
RCBTB2,AKAP3,0.2
STH,AKAP3,0.2
TCTEX1D4,AKAP3,0.2
TSC22D1,AKAP3,0.2
CALML6,AKAP3,0.1875
ZNF326,AKAP8L,0.2666666666666666
ZC3H13,AKAP8L,0.25
TAF15,AKAP8L,0.2413793103448276
SP7,AKAP8L,0.2285714285714285
SRSF7,AKAP8L,0.21875
MBNL3,AKAP8L,0.2142857142857142
PRDM10,AKAP8L,0.2142857142857142
BCLAF1,AKAP8L,0.2
GMEB1,AKIRIN2,0.2307692307692307
REL,AKIRIN2,0.21875
IER5,AKIRIN2,0.217391304347826
PRDM10,AKIRIN2,0.217391304347826
HMGN3,AKIRIN2,0.2083333333333333
CREBZF,AKIRIN2,0.2
GABPA,AKIRIN2,0.1935483870967742
LYAR,AKIRIN2,0.1935483870967742
CEP170,AKNA,0.2777777777777778
POLR3H,AKNA,0.2608695652173913
CCDC92,AKNA,0.25
DENND1C,AKNA,0.2272727272727272
GPBP1,AKNA,0.2272727272727272
HSPB9,AKNA,0.2222222222222222
KLF6,AKNA,0.2222222222222222
NFKBIE,AKNA,0.2222222222222222
TESK2,AKT3,0.2727272727272727
CDK15,AKT3,0.2580645161290322
CLK3,AKT3,0.2571428571428571
CDK18,AKT3,0.25
SMG1,AKT3,0.2325581395348837
RIOK2,AKT3,0.2222222222222222
PIM3,AKT3,0.21875
WEE1,AKT3,0.1621621621621621
ARGLU1,ALAS1,0.3076923076923077
ETHE1,ALAS1,0.2777777777777778
HMBS,ALAS1,0.2666666666666666
ANKRD28,ALAS1,0.25
C14orf119,ALAS1,0.25
FAM208B,ALAS1,0.25
NECAB1,ALAS1,0.25
PSAT1,ALAS1,0.2352941176470588
ALAS1,ALAS2,0.5294117647058824
FECH,ALAS2,0.238095238095238
TIMM44,ALAS2,0.1904761904761904
HMBS,ALAS2,0.1666666666666666
TIMM23,ALAS2,0.1428571428571428
ETHE1,ALAS2,0.1363636363636363
IDH3A,ALAS2,0.1363636363636363
C14orf119,ALAS2,0.1333333333333333
PVRL4,ALCAM,0.1923076923076923
CD82,ALCAM,0.1904761904761904
CD37,ALCAM,0.1818181818181818
GYPA,ALCAM,0.1739130434782608
PROCR,ALCAM,0.1724137931034483
SIGLEC7,ALCAM,0.1666666666666666
CD99,ALCAM,0.16
FLNB,ALCAM,0.1538461538461538
CA1,ALDH1L1,0.2
GMPPA,ALDH1L1,0.1666666666666666
TAX1BP1,ALDH1L1,0.1333333333333333
CA13,ALDH1L1,0.125
HIST1H2BD,ALDH1L1,0.125
PSAT1,ALDH1L1,0.125
SEC14L2,ALDH1L1,0.125
SERPINB8,ALDH1L1,0.125
ETHE1,ALDH1L2,0.1904761904761904
ARGLU1,ALDH1L2,0.1875
GMPPA,ALDH1L2,0.1875
ALAS1,ALDH1L2,0.1818181818181818
DUT,ALDH1L2,0.1739130434782608
HIST1H2AC,ALDH1L2,0.1578947368421052
DHRS2,ALDH1L2,0.1538461538461538
CA1,ALDH1L2,0.15
IDH3A,ALDH2,0.16
FAM129A,ALDH3B1,0.1923076923076923
TOM1,ALDH3B1,0.1875
GCA,ALDH3B1,0.1851851851851851
TMC6,ALDH3B1,0.1724137931034483
DOK3,ALDH3B1,0.1666666666666666
TTC17,ALDH3B1,0.1666666666666666
GOLGA4,ALDH3B1,0.1612903225806451
MYO1F,ALDH3B1,0.1612903225806451
LDHA,ALDOA,0.2162162162162162
EEF2,ALDOA,0.2127659574468085
COTL1,ALDOA,0.2
MVP,ALDOA,0.2
EEF1A1,ALDOA,0.1923076923076923
CAND1,ALDOA,0.1818181818181818
FTH1,ALDOA,0.1739130434782608
PSMD12,ALDOA,0.1707317073170731
FAM129A,ALOX12,0.1875
NCF4,ALOX12,0.1666666666666666
AHNAK,ALOX12,0.1555555555555555
FTL,ALOX12,0.1538461538461538
PPL,ALOX12,0.1538461538461538
TOM1,ALOX12,0.1538461538461538
GCA,ALOX12,0.1470588235294117
ARHGEF12,ALOX12,0.1428571428571428
DDOST,ALOX5AP,0.1944444444444444
MLEC,ALOX5AP,0.1875
C14orf1,ALOX5AP,0.1724137931034483
SEC61B,ALOX5AP,0.1666666666666666
SLC39A7,ALOX5AP,0.1612903225806451
PLP2,ALOX5AP,0.1515151515151515
SMIM14,ALOX5AP,0.1481481481481481
SSR2,ALOX5AP,0.1481481481481481
CDK15,ALPK1,0.3181818181818182
PIM3,ALPK1,0.3181818181818182
CDK18,ALPK1,0.25
TESK2,ALPK1,0.2307692307692307
RILPL2,ALPK1,0.2272727272727272
CLK3,ALPK1,0.2142857142857142
RIOK2,ALPK1,0.2142857142857142
SMG1,ALPK1,0.1944444444444444
HOXB5,ALX4,0.3666666666666666
ONECUT3,ALX4,0.3461538461538461
IRF2,ALX4,0.3235294117647059
CREBRF,ALX4,0.3076923076923077
GMEB1,ALX4,0.3
MYCN,ALX4,0.2941176470588235
RHOXF1,ALX4,0.2903225806451613
FOSL2,ALX4,0.28125
SAMD9,AMACR,0.2307692307692307
HSPB9,AMACR,0.2142857142857142
IDI2,AMACR,0.2105263157894736
ADAP1,AMACR,0.2
TTC17,AMACR,0.2
PTRF,AMACR,0.1923076923076923
NMRK2,AMACR,0.1904761904761904
ABTB1,AMACR,0.1875
CDK15,AMHR2,0.15625
