src,dst
TUBB2A,R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
TUBB2B,R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
TUBB3,R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
TUBB4B,R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
CYBA,R-HSA-1236973|Cross-presentation of particulate exogenous antigens (phagosomes)
CYBB,R-HSA-1236973|Cross-presentation of particulate exogenous antigens (phagosomes)
ITGAV,R-HSA-1236973|Cross-presentation of particulate exogenous antigens (phagosomes)
NCF2,R-HSA-1236973|Cross-presentation of particulate exogenous antigens (phagosomes)
NCF4,R-HSA-1236973|Cross-presentation of particulate exogenous antigens (phagosomes)
ADRM1,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
FCGR1A,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
MRC2,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMB8,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMB9,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMC1,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMC2,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMD11,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMD12,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSMD14,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
PSME1,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
CCNA2,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
CCNB1,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
CCNB2,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
CDK1,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
HJURP,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
MIS18BP1,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
PLK1,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
WEE1,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
XPO1,R-HSA-69273|Cyclin A/B1/B2 associated events during G2/M transition
ADRM1,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
AKT3,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
CCNA2,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
CCNE1,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
CCNE2,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
CDKN1A,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
CKS1B,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
MYC,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
PSMC1,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
PSMC2,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
PSMD11,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
PSMD12,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
PSMD14,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
PTK6,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
RBL2,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
RPS27A,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
TFDP2,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
UBC,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
WEE1,R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
ABL1,R-HSA-69231|Cyclin D associated events in G1
CCND2,R-HSA-69231|Cyclin D associated events in G1
CCND3,R-HSA-69231|Cyclin D associated events in G1
CCNE1,R-HSA-69231|Cyclin D associated events in G1
CCNE2,R-HSA-69231|Cyclin D associated events in G1
CDK6,R-HSA-69231|Cyclin D associated events in G1
CDKN1A,R-HSA-69231|Cyclin D associated events in G1
CDKN1C,R-HSA-69231|Cyclin D associated events in G1
CDKN2C,R-HSA-69231|Cyclin D associated events in G1
CDKN2D,R-HSA-69231|Cyclin D associated events in G1
CKS1B,R-HSA-69231|Cyclin D associated events in G1
PTK6,R-HSA-69231|Cyclin D associated events in G1
RBL2,R-HSA-69231|Cyclin D associated events in G1
RPS27A,R-HSA-69231|Cyclin D associated events in G1
TFDP2,R-HSA-69231|Cyclin D associated events in G1
UBC,R-HSA-69231|Cyclin D associated events in G1
ADRM1,R-HSA-69202|Cyclin E associated events during G1/S transition 
AKT3,R-HSA-69202|Cyclin E associated events during G1/S transition 
CCNA2,R-HSA-69202|Cyclin E associated events during G1/S transition 
CCNE1,R-HSA-69202|Cyclin E associated events during G1/S transition 
CCNE2,R-HSA-69202|Cyclin E associated events during G1/S transition 
CDKN1A,R-HSA-69202|Cyclin E associated events during G1/S transition 
CKS1B,R-HSA-69202|Cyclin E associated events during G1/S transition 
MYC,R-HSA-69202|Cyclin E associated events during G1/S transition 
PSMC1,R-HSA-69202|Cyclin E associated events during G1/S transition 
PSMC2,R-HSA-69202|Cyclin E associated events during G1/S transition 
PSMD11,R-HSA-69202|Cyclin E associated events during G1/S transition 
PSMD12,R-HSA-69202|Cyclin E associated events during G1/S transition 
PSMD14,R-HSA-69202|Cyclin E associated events during G1/S transition 
PTK6,R-HSA-69202|Cyclin E associated events during G1/S transition 
RBL2,R-HSA-69202|Cyclin E associated events during G1/S transition 
RPS27A,R-HSA-69202|Cyclin E associated events during G1/S transition 
TFDP2,R-HSA-69202|Cyclin E associated events during G1/S transition 
UBC,R-HSA-69202|Cyclin E associated events during G1/S transition 
WEE1,R-HSA-69202|Cyclin E associated events during G1/S transition 
AHR,R-HSA-211897|Cytochrome P450 - arranged by substrate type
CYP19A1,R-HSA-211897|Cytochrome P450 - arranged by substrate type
CYP21A2,R-HSA-211897|Cytochrome P450 - arranged by substrate type
CYP26A1,R-HSA-211897|Cytochrome P450 - arranged by substrate type
CYP27A1,R-HSA-211897|Cytochrome P450 - arranged by substrate type
CYP3A5,R-HSA-211897|Cytochrome P450 - arranged by substrate type
FDXR,R-HSA-211897|Cytochrome P450 - arranged by substrate type
ABL2,R-HSA-1280215|Cytokine Signaling in Immune system
ACTB,R-HSA-1280215|Cytokine Signaling in Immune system
ACTG1,R-HSA-1280215|Cytokine Signaling in Immune system
ADAM17,R-HSA-1280215|Cytokine Signaling in Immune system
ADAR,R-HSA-1280215|Cytokine Signaling in Immune system
ADRM1,R-HSA-1280215|Cytokine Signaling in Immune system
AKT3,R-HSA-1280215|Cytokine Signaling in Immune system
ALPK1,R-HSA-1280215|Cytokine Signaling in Immune system
ANXA1,R-HSA-1280215|Cytokine Signaling in Immune system
ANXA2,R-HSA-1280215|Cytokine Signaling in Immune system
APP,R-HSA-1280215|Cytokine Signaling in Immune system
ATF6,R-HSA-1280215|Cytokine Signaling in Immune system
B2M,R-HSA-1280215|Cytokine Signaling in Immune system
BATF,R-HSA-1280215|Cytokine Signaling in Immune system
BCL6,R-HSA-1280215|Cytokine Signaling in Immune system
BIRC3,R-HSA-1280215|Cytokine Signaling in Immune system
BIRC5,R-HSA-1280215|Cytokine Signaling in Immune system
BRWD1,R-HSA-1280215|Cytokine Signaling in Immune system
BST2,R-HSA-1280215|Cytokine Signaling in Immune system
CA1,R-HSA-1280215|Cytokine Signaling in Immune system
CANX,R-HSA-1280215|Cytokine Signaling in Immune system
CASP3,R-HSA-1280215|Cytokine Signaling in Immune system
CASP8,R-HSA-1280215|Cytokine Signaling in Immune system
CBL,R-HSA-1280215|Cytokine Signaling in Immune system
CCL2,R-HSA-1280215|Cytokine Signaling in Immune system
CCL3,R-HSA-1280215|Cytokine Signaling in Immune system
CCL5,R-HSA-1280215|Cytokine Signaling in Immune system
CD40,R-HSA-1280215|Cytokine Signaling in Immune system
CD44,R-HSA-1280215|Cytokine Signaling in Immune system
CD70,R-HSA-1280215|Cytokine Signaling in Immune system
CD80,R-HSA-1280215|Cytokine Signaling in Immune system
CDK1,R-HSA-1280215|Cytokine Signaling in Immune system
CDKN1A,R-HSA-1280215|Cytokine Signaling in Immune system
CEBPD,R-HSA-1280215|Cytokine Signaling in Immune system
CIITA,R-HSA-1280215|Cytokine Signaling in Immune system
CISH,R-HSA-1280215|Cytokine Signaling in Immune system
CNN2,R-HSA-1280215|Cytokine Signaling in Immune system
CREB1,R-HSA-1280215|Cytokine Signaling in Immune system
CSF1,R-HSA-1280215|Cytokine Signaling in Immune system
CSF2,R-HSA-1280215|Cytokine Signaling in Immune system
CSF3R,R-HSA-1280215|Cytokine Signaling in Immune system
CUL5,R-HSA-1280215|Cytokine Signaling in Immune system
DHX9,R-HSA-1280215|Cytokine Signaling in Immune system
DNAJC3,R-HSA-1280215|Cytokine Signaling in Immune system
DUSP4,R-HSA-1280215|Cytokine Signaling in Immune system
EBI3,R-HSA-1280215|Cytokine Signaling in Immune system
EGR1,R-HSA-1280215|Cytokine Signaling in Immune system
EIF2AK2,R-HSA-1280215|Cytokine Signaling in Immune system
EIF2S1,R-HSA-1280215|Cytokine Signaling in Immune system
EIF2S3,R-HSA-1280215|Cytokine Signaling in Immune system
EIF4A2,R-HSA-1280215|Cytokine Signaling in Immune system
EIF4E3,R-HSA-1280215|Cytokine Signaling in Immune system
EIF4G1,R-HSA-1280215|Cytokine Signaling in Immune system
EIF4G2,R-HSA-1280215|Cytokine Signaling in Immune system
EIF4G3,R-HSA-1280215|Cytokine Signaling in Immune system
FCGR1A,R-HSA-1280215|Cytokine Signaling in Immune system
FKBP5,R-HSA-1280215|Cytokine Signaling in Immune system
FLNA,R-HSA-1280215|Cytokine Signaling in Immune system
FLNB,R-HSA-1280215|Cytokine Signaling in Immune system
FOS,R-HSA-1280215|Cytokine Signaling in Immune system
FURIN,R-HSA-1280215|Cytokine Signaling in Immune system
FYN,R-HSA-1280215|Cytokine Signaling in Immune system
GATA3,R-HSA-1280215|Cytokine Signaling in Immune system
GBP1,R-HSA-1280215|Cytokine Signaling in Immune system
GBP2,R-HSA-1280215|Cytokine Signaling in Immune system
GHR,R-HSA-1280215|Cytokine Signaling in Immune system
GRAP2,R-HSA-1280215|Cytokine Signaling in Immune system
GRB2,R-HSA-1280215|Cytokine Signaling in Immune system
GSDMD,R-HSA-1280215|Cytokine Signaling in Immune system
GSTO1,R-HSA-1280215|Cytokine Signaling in Immune system
HAVCR2,R-HSA-1280215|Cytokine Signaling in Immune system
HLA-A,R-HSA-1280215|Cytokine Signaling in Immune system
HLA-B,R-HSA-1280215|Cytokine Signaling in Immune system
HLA-C,R-HSA-1280215|Cytokine Signaling in Immune system
HLA-E,R-HSA-1280215|Cytokine Signaling in Immune system
HMGB1,R-HSA-1280215|Cytokine Signaling in Immune system
HNRNPA2B1,R-HSA-1280215|Cytokine Signaling in Immune system
HNRNPDL,R-HSA-1280215|Cytokine Signaling in Immune system
HSP90AA1,R-HSA-1280215|Cytokine Signaling in Immune system
HSP90B1,R-HSA-1280215|Cytokine Signaling in Immune system
HSPA1A,R-HSA-1280215|Cytokine Signaling in Immune system
HSPA1B,R-HSA-1280215|Cytokine Signaling in Immune system
HSPA5,R-HSA-1280215|Cytokine Signaling in Immune system
HSPA8,R-HSA-1280215|Cytokine Signaling in Immune system
HSPA9,R-HSA-1280215|Cytokine Signaling in Immune system
ICAM1,R-HSA-1280215|Cytokine Signaling in Immune system
IFI35,R-HSA-1280215|Cytokine Signaling in Immune system
IFI6,R-HSA-1280215|Cytokine Signaling in Immune system
IFIH1,R-HSA-1280215|Cytokine Signaling in Immune system
IFIT3,R-HSA-1280215|Cytokine Signaling in Immune system
IFIT5,R-HSA-1280215|Cytokine Signaling in Immune system
IFITM1,R-HSA-1280215|Cytokine Signaling in Immune system
IFITM2,R-HSA-1280215|Cytokine Signaling in Immune system
IFNGR1,R-HSA-1280215|Cytokine Signaling in Immune system
IFNGR2,R-HSA-1280215|Cytokine Signaling in Immune system
IL10RA,R-HSA-1280215|Cytokine Signaling in Immune system
IL11,R-HSA-1280215|Cytokine Signaling in Immune system
IL13RA1,R-HSA-1280215|Cytokine Signaling in Immune system
IL15,R-HSA-1280215|Cytokine Signaling in Immune system
IL18R1,R-HSA-1280215|Cytokine Signaling in Immune system
IL1RAPL1,R-HSA-1280215|Cytokine Signaling in Immune system
IL1RN,R-HSA-1280215|Cytokine Signaling in Immune system
IL20RB,R-HSA-1280215|Cytokine Signaling in Immune system
IL21R,R-HSA-1280215|Cytokine Signaling in Immune system
IL23A,R-HSA-1280215|Cytokine Signaling in Immune system
IL24,R-HSA-1280215|Cytokine Signaling in Immune system
IL27RA,R-HSA-1280215|Cytokine Signaling in Immune system
IL2RB,R-HSA-1280215|Cytokine Signaling in Immune system
IL2RG,R-HSA-1280215|Cytokine Signaling in Immune system
IL32,R-HSA-1280215|Cytokine Signaling in Immune system
IL34,R-HSA-1280215|Cytokine Signaling in Immune system
IL4R,R-HSA-1280215|Cytokine Signaling in Immune system
IL5RA,R-HSA-1280215|Cytokine Signaling in Immune system
IL6R,R-HSA-1280215|Cytokine Signaling in Immune system
IL6ST,R-HSA-1280215|Cytokine Signaling in Immune system
IL9R,R-HSA-1280215|Cytokine Signaling in Immune system
INPP5D,R-HSA-1280215|Cytokine Signaling in Immune system
IRAK2,R-HSA-1280215|Cytokine Signaling in Immune system
IRF1,R-HSA-1280215|Cytokine Signaling in Immune system
IRF2,R-HSA-1280215|Cytokine Signaling in Immune system
IRF7,R-HSA-1280215|Cytokine Signaling in Immune system
IRF9,R-HSA-1280215|Cytokine Signaling in Immune system
IRS1,R-HSA-1280215|Cytokine Signaling in Immune system
IRS2,R-HSA-1280215|Cytokine Signaling in Immune system
ISG15,R-HSA-1280215|Cytokine Signaling in Immune system
ISG20,R-HSA-1280215|Cytokine Signaling in Immune system
ITGAM,R-HSA-1280215|Cytokine Signaling in Immune system
ITGB1,R-HSA-1280215|Cytokine Signaling in Immune system
ITGB2,R-HSA-1280215|Cytokine Signaling in Immune system
JAK1,R-HSA-1280215|Cytokine Signaling in Immune system
JUN,R-HSA-1280215|Cytokine Signaling in Immune system
JUNB,R-HSA-1280215|Cytokine Signaling in Immune system
KPNA2,R-HSA-1280215|Cytokine Signaling in Immune system
KPNA4,R-HSA-1280215|Cytokine Signaling in Immune system
LCK,R-HSA-1280215|Cytokine Signaling in Immune system
LCP1,R-HSA-1280215|Cytokine Signaling in Immune system
LIF,R-HSA-1280215|Cytokine Signaling in Immune system
LMNB1,R-HSA-1280215|Cytokine Signaling in Immune system
LTB,R-HSA-1280215|Cytokine Signaling in Immune system
MAP3K8,R-HSA-1280215|Cytokine Signaling in Immune system
MAPKAPK2,R-HSA-1280215|Cytokine Signaling in Immune system
MCL1,R-HSA-1280215|Cytokine Signaling in Immune system
MEF2A,R-HSA-1280215|Cytokine Signaling in Immune system
MEF2C,R-HSA-1280215|Cytokine Signaling in Immune system
MMP9,R-HSA-1280215|Cytokine Signaling in Immune system
MSN,R-HSA-1280215|Cytokine Signaling in Immune system
MT2A,R-HSA-1280215|Cytokine Signaling in Immune system
MYC,R-HSA-1280215|Cytokine Signaling in Immune system
NDN,R-HSA-1280215|Cytokine Signaling in Immune system
NEDD4,R-HSA-1280215|Cytokine Signaling in Immune system
NFKB2,R-HSA-1280215|Cytokine Signaling in Immune system
NFKBIA,R-HSA-1280215|Cytokine Signaling in Immune system
NKIRAS2,R-HSA-1280215|Cytokine Signaling in Immune system
NLRC5,R-HSA-1280215|Cytokine Signaling in Immune system
NOD1,R-HSA-1280215|Cytokine Signaling in Immune system
NPM1,R-HSA-1280215|Cytokine Signaling in Immune system
NUP210,R-HSA-1280215|Cytokine Signaling in Immune system
NUP214,R-HSA-1280215|Cytokine Signaling in Immune system
OAS3,R-HSA-1280215|Cytokine Signaling in Immune system
P4HB,R-HSA-1280215|Cytokine Signaling in Immune system
PAK2,R-HSA-1280215|Cytokine Signaling in Immune system
PELI1,R-HSA-1280215|Cytokine Signaling in Immune system
PIK3CB,R-HSA-1280215|Cytokine Signaling in Immune system
PIK3R1,R-HSA-1280215|Cytokine Signaling in Immune system
PIK3R3,R-HSA-1280215|Cytokine Signaling in Immune system
PIM1,R-HSA-1280215|Cytokine Signaling in Immune system
POU2F1,R-HSA-1280215|Cytokine Signaling in Immune system
PPP2R5A,R-HSA-1280215|Cytokine Signaling in Immune system
PSMB8,R-HSA-1280215|Cytokine Signaling in Immune system
PSMC1,R-HSA-1280215|Cytokine Signaling in Immune system
PSMC2,R-HSA-1280215|Cytokine Signaling in Immune system
PSMD11,R-HSA-1280215|Cytokine Signaling in Immune system
PSMD12,R-HSA-1280215|Cytokine Signaling in Immune system
PSMD14,R-HSA-1280215|Cytokine Signaling in Immune system
PTAFR,R-HSA-1280215|Cytokine Signaling in Immune system
PTK2B,R-HSA-1280215|Cytokine Signaling in Immune system
PTPN11,R-HSA-1280215|Cytokine Signaling in Immune system
PTPN14,R-HSA-1280215|Cytokine Signaling in Immune system
PTPN7,R-HSA-1280215|Cytokine Signaling in Immune system
RALA,R-HSA-1280215|Cytokine Signaling in Immune system
RANBP2,R-HSA-1280215|Cytokine Signaling in Immune system
RAP1B,R-HSA-1280215|Cytokine Signaling in Immune system
RELB,R-HSA-1280215|Cytokine Signaling in Immune system
RHOU,R-HSA-1280215|Cytokine Signaling in Immune system
RNASEL,R-HSA-1280215|Cytokine Signaling in Immune system
RPS27A,R-HSA-1280215|Cytokine Signaling in Immune system
RPS6KA5,R-HSA-1280215|Cytokine Signaling in Immune system
RSAD2,R-HSA-1280215|Cytokine Signaling in Immune system
S1PR1,R-HSA-1280215|Cytokine Signaling in Immune system
SDC1,R-HSA-1280215|Cytokine Signaling in Immune system
SMAD3,R-HSA-1280215|Cytokine Signaling in Immune system
SOCS1,R-HSA-1280215|Cytokine Signaling in Immune system
SOCS2,R-HSA-1280215|Cytokine Signaling in Immune system
SOCS3,R-HSA-1280215|Cytokine Signaling in Immune system
SOD2,R-HSA-1280215|Cytokine Signaling in Immune system
SOS2,R-HSA-1280215|Cytokine Signaling in Immune system
SP100,R-HSA-1280215|Cytokine Signaling in Immune system
SPHK1,R-HSA-1280215|Cytokine Signaling in Immune system
SQSTM1,R-HSA-1280215|Cytokine Signaling in Immune system
STAT1,R-HSA-1280215|Cytokine Signaling in Immune system
STAT3,R-HSA-1280215|Cytokine Signaling in Immune system
STX3,R-HSA-1280215|Cytokine Signaling in Immune system
TEC,R-HSA-1280215|Cytokine Signaling in Immune system
TGFB1,R-HSA-1280215|Cytokine Signaling in Immune system
TIMP1,R-HSA-1280215|Cytokine Signaling in Immune system
TNFRSF12A,R-HSA-1280215|Cytokine Signaling in Immune system
TNFRSF14,R-HSA-1280215|Cytokine Signaling in Immune system
TNFRSF18,R-HSA-1280215|Cytokine Signaling in Immune system
TNFRSF4,R-HSA-1280215|Cytokine Signaling in Immune system
TNFRSF9,R-HSA-1280215|Cytokine Signaling in Immune system
TNFSF14,R-HSA-1280215|Cytokine Signaling in Immune system
TNFSF9,R-HSA-1280215|Cytokine Signaling in Immune system
TPR,R-HSA-1280215|Cytokine Signaling in Immune system
TRIM22,R-HSA-1280215|Cytokine Signaling in Immune system
TRIM25,R-HSA-1280215|Cytokine Signaling in Immune system
TRIM31,R-HSA-1280215|Cytokine Signaling in Immune system
TRIM38,R-HSA-1280215|Cytokine Signaling in Immune system
TRIM6,R-HSA-1280215|Cytokine Signaling in Immune system
TUBA1A,R-HSA-1280215|Cytokine Signaling in Immune system
TUBA1B,R-HSA-1280215|Cytokine Signaling in Immune system
TUBA1C,R-HSA-1280215|Cytokine Signaling in Immune system
TUBA8,R-HSA-1280215|Cytokine Signaling in Immune system
TUBAL3,R-HSA-1280215|Cytokine Signaling in Immune system
TUBB1,R-HSA-1280215|Cytokine Signaling in Immune system
TUBB2A,R-HSA-1280215|Cytokine Signaling in Immune system
TUBB2B,R-HSA-1280215|Cytokine Signaling in Immune system
TUBB3,R-HSA-1280215|Cytokine Signaling in Immune system
TUBB4B,R-HSA-1280215|Cytokine Signaling in Immune system
TWIST1,R-HSA-1280215|Cytokine Signaling in Immune system
TXLNA,R-HSA-1280215|Cytokine Signaling in Immune system
UBA7,R-HSA-1280215|Cytokine Signaling in Immune system
UBC,R-HSA-1280215|Cytokine Signaling in Immune system
UBE2L6,R-HSA-1280215|Cytokine Signaling in Immune system
UBE2V1,R-HSA-1280215|Cytokine Signaling in Immune system
VAMP2,R-HSA-1280215|Cytokine Signaling in Immune system
VEGFA,R-HSA-1280215|Cytokine Signaling in Immune system
VIM,R-HSA-1280215|Cytokine Signaling in Immune system
YES1,R-HSA-1280215|Cytokine Signaling in Immune system
ZEB1,R-HSA-1280215|Cytokine Signaling in Immune system
BACH1,R-HSA-9707564|Cytoprotection by HMOX1
BLVRB,R-HSA-9707564|Cytoprotection by HMOX1
CREBBP,R-HSA-9707564|Cytoprotection by HMOX1
HBA1,R-HSA-9707564|Cytoprotection by HMOX1
HELZ2,R-HSA-9707564|Cytoprotection by HMOX1
HM13,R-HSA-9707564|Cytoprotection by HMOX1
NFE2L2,R-HSA-9707564|Cytoprotection by HMOX1
PPARA,R-HSA-9707564|Cytoprotection by HMOX1
PTK6,R-HSA-9707564|Cytoprotection by HMOX1
STAT3,R-HSA-9707564|Cytoprotection by HMOX1
TBL1X,R-HSA-9707564|Cytoprotection by HMOX1
TBL1XR1,R-HSA-9707564|Cytoprotection by HMOX1
TXNIP,R-HSA-9707564|Cytoprotection by HMOX1
CRCP,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
CREBBP,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
CTNNB1,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
DHX9,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
EP300,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
IFI16,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
IRF7,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
NFKB2,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
NFKBIA,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
NKIRAS2,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
POLR3GL,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
POLR3H,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
PRKDC,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
RPS27A,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
TRIM56,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
UBC,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
XRCC5,R-HSA-1834949|Cytosolic sensors of pathogen-associated DNA 
ADCY1,R-HSA-1489509|DAG and IP3 signaling
ADCY3,R-HSA-1489509|DAG and IP3 signaling
ADCY4,R-HSA-1489509|DAG and IP3 signaling
ADCY6,R-HSA-1489509|DAG and IP3 signaling
CALM1,R-HSA-1489509|DAG and IP3 signaling
CREB1,R-HSA-1489509|DAG and IP3 signaling
ITPR1,R-HSA-1489509|DAG and IP3 signaling
ITPR2,R-HSA-1489509|DAG and IP3 signaling
KPNA2,R-HSA-1489509|DAG and IP3 signaling
NBEA,R-HSA-1489509|DAG and IP3 signaling
PDE1B,R-HSA-1489509|DAG and IP3 signaling
PRKACB,R-HSA-1489509|DAG and IP3 signaling
PRKAR1A,R-HSA-1489509|DAG and IP3 signaling
PRKAR2B,R-HSA-1489509|DAG and IP3 signaling
PRKCA,R-HSA-1489509|DAG and IP3 signaling
PRKCG,R-HSA-1489509|DAG and IP3 signaling
PRKX,R-HSA-1489509|DAG and IP3 signaling
B2M,R-HSA-2172127|DAP12 interactions
FYN,R-HSA-2172127|DAP12 interactions
GRAP2,R-HSA-2172127|DAP12 interactions
GRB2,R-HSA-2172127|DAP12 interactions
HLA-B,R-HSA-2172127|DAP12 interactions
HLA-C,R-HSA-2172127|DAP12 interactions
HLA-E,R-HSA-2172127|DAP12 interactions
LCK,R-HSA-2172127|DAP12 interactions
LCP2,R-HSA-2172127|DAP12 interactions
PIK3CB,R-HSA-2172127|DAP12 interactions
PIK3R1,R-HSA-2172127|DAP12 interactions
TYROBP,R-HSA-2172127|DAP12 interactions
B2M,R-HSA-2424491|DAP12 signaling
FYN,R-HSA-2424491|DAP12 signaling
GRAP2,R-HSA-2424491|DAP12 signaling
GRB2,R-HSA-2424491|DAP12 signaling
HLA-E,R-HSA-2424491|DAP12 signaling
LCK,R-HSA-2424491|DAP12 signaling
LCP2,R-HSA-2424491|DAP12 signaling
PIK3CB,R-HSA-2424491|DAP12 signaling
PIK3R1,R-HSA-2424491|DAP12 signaling
TYROBP,R-HSA-2424491|DAP12 signaling
CALM1,R-HSA-180024|DARPP-32 events
PDE4A,R-HSA-180024|DARPP-32 events
PDE4D,R-HSA-180024|DARPP-32 events
PPP3CA,R-HSA-180024|DARPP-32 events
PRKACB,R-HSA-180024|DARPP-32 events
PRKAR1A,R-HSA-180024|DARPP-32 events
PRKAR2B,R-HSA-180024|DARPP-32 events
APP,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
CASP10,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
CASP8,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
CREBBP,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
EP300,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
HMGB1,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
HSP90AA1,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
HSP90AB1,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
IFIH1,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
IKBKE,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
IRF7,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
ISG15,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
NFKB2,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
NFKBIA,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
NKIRAS2,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
NLRC5,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
RPS27A,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
TANK,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
TAX1BP1,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
TRIM25,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
UBA7,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
UBC,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
UBE2L6,R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta
DTL,R-HSA-73893|DNA Damage Bypass
ISG15,R-HSA-73893|DNA Damage Bypass
PCNA,R-HSA-73893|DNA Damage Bypass
POLD4,R-HSA-73893|DNA Damage Bypass
RAD18,R-HSA-73893|DNA Damage Bypass
REV3L,R-HSA-73893|DNA Damage Bypass
RFC4,R-HSA-73893|DNA Damage Bypass
RPS27A,R-HSA-73893|DNA Damage Bypass
TRIM25,R-HSA-73893|DNA Damage Bypass
